original_title,budget,revenue,runtime,vote_count,evaluation
千と千尋の神隠し,15000000,274925095,125,3840,bien
Me Before You,20000000,207945075,110,2562,bien
Lawrence of Arabia,15000000,69995385,216,851,bien
Captain Phillips,55000000,95000000,134,2454,bien
The Lord of the Rings: The Return of the King,94000000,1118888979,201,8064,bien
Le fabuleux destin d'Amélie Poulain,10000000,173921954,122,3310,bien
Fight Club,63000000,100853753,139,9413,bien
Toy Story,30000000,373554033,81,5269,bien
بچه‌های آسمان,180000,900000,89,112,bien
The King's Speech,15000000,414211549,118,2752,bien
七人の侍,2000000,271841,207,878,bien
Modern Times,1,8500000,87,856,bien
Her,23000000,47351251,126,4097,bien
Incendies,6800000,7103838,130,479,bien
Slumdog Millionaire,15000000,377910544,120,2827,bien
Donnie Darko,6000000,1270522,113,3452,bien
El laberinto del fauno,19000000,83258226,118,3041,bien
Dallas Buyers Club,5000000,55198285,117,2886,bien
High Noon,730000,8000000,85,334,bien
Moon,5000000,9760104,97,1794,bien
Dancer in the Dark,12800000,40031879,140,377,bien
The Theory of Everything,15000000,123726688,123,3311,bien
Pride & Prejudice,28000000,121147947,135,1358,bien
Big Hero 6,165000000,652105443,102,6135,bien
The Visual Bible: The Gospel of John,10000000,4069090,125,12,bien
Unforgiven,14000000,159157447,131,1113,bien
Prisoners,46000000,122126687,153,3085,bien
Singin' in the Rain,2540800,7200000,103,727,bien
Indiana Jones and the Last Crusade,48000000,474171806,127,3152,bien
The Empire Strikes Back,18000000,538400000,124,5879,bien
V for Vendetta,54000000,132511035,132,4442,bien
The Usual Suspects,6000000,23341568,106,3254,bien
The Work and the Glory II: American Zion,6500000,2025032,100,6,bien
The Hustler,2000000,7600000,134,240,bien
Aliens,18500000,183316455,137,3220,bien
The Hateful Eight,44000000,155760117,167,4274,bien
Inception,160000000,825532764,148,13752,bien
The Dark Knight Rises,250000000,1084939099,165,9106,bien
Memento,9000000,39723096,113,4028,bien
Mr. Smith Goes to Washington,1500000,9600000,129,241,bien
The Pursuit of Happyness,55000000,307077295,117,2525,bien
Dreaming of Joseph Lees,2000000,7,92,1,bien
The Grand Budapest Hotel,30000000,174600318,99,4519,bien
Cidade de Deus,3300000,30641770,130,1814,bien
Raiders of the Lost Ark,18000000,389925971,115,3854,bien
The Iron Giant,70000000,23159305,86,1436,bien
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1800000,9440272,95,1442,bien
Stand by Me,8000000,52287414,89,1522,bien
Dead Poets Society,16400000,235860116,129,2705,bien
Dances with Wolves,22000000,424208848,181,1046,bien
올드보이,3000000,14980005,120,1945,bien
Raising Victor Vargas,800000,2816116,88,13,bien
Inside Out,175000000,857611174,94,6560,bien
Vals Im Bashir,2000000,11125849,90,291,bien
The Imitation Game,14000000,233555708,113,5723,bien
To Kill a Mockingbird,2000000,13129846,129,657,bien
Alien,11000000,104931801,117,4470,bien
Gone with the Wind,4000000,400176459,238,970,bien
Hachi: A Dog's Tale,16000000,47801389,93,1717,bien
GoodFellas,25000000,46836394,145,3128,bien
Per un pugno di dollari,200000,14500000,99,883,bien
The Apartment,3000000,25000000,125,483,bien
Captain America: The Winter Soldier,170000000,714766572,136,5764,bien
Beyond the Mat,2053648,500000,102,17,bien
Scarface,25000000,65884703,170,2948,bien
Pulp Fiction,8000000,213928762,154,8428,bien
Amores perros,2000000,20908467,154,521,bien
The Truman Show,60000000,264118201,103,4537,bien
Mulholland Drive,15000000,20117339,147,1477,bien
Amadeus,18000000,51973029,160,1076,bien
Inglourious Basterds,70000000,319131050,153,6430,bien
Cat on a Hot Tin Roof,3000000,17570324,108,165,bien
Reservoir Dogs,1200000,14661007,99,3697,bien
Network,3800000,23689877,121,381,bien
Der Untergang,18339750,92180910,156,1037,bien
Trainspotting,4000000,16491080,93,2655,bien
Tupac: Resurrection,300000,7808524,112,26,bien
The Fault in Our Stars,12000000,307166834,125,3759,bien
The Best Years of Our Lives,2100000,23650000,172,143,bien
Rain Man,25000000,412800000,133,1709,bien
The Martian,108000000,630161890,141,7268,bien
The Silence of the Lambs,19000000,272742922,119,4443,bien
The Great Escape,4000000,11744471,172,717,bien
Inside Out 2,200000000,1682636477,97,3906,bien
Million Dollar Baby,30000000,216763646,132,2439,bien
Warrior,25000000,23057115,140,1272,bien
One Flew Over the Cuckoo's Nest,3000000,108981275,133,2919,bien
The Hobbit: The Desolation of Smaug,250000000,958400000,161,4524,bien
Central do Brasil,2900000,5596708,113,126,bien
El secreto de sus ojos,2000000,33965843,129,626,bien
Schindler's List,22000000,321365567,195,4329,bien
The Color Purple,15000000,146292009,154,338,bien
Apocalypse Now,31500000,89460381,153,2055,bien
Forrest Gump,55000000,677945399,142,7927,bien
Blade Runner,28000000,33139618,117,3509,bien
12 Years a Slave,20000000,187000000,134,3674,bien
A Streetcar Named Desire,1800000,8000000,125,281,bien
ハウルの動く城,24000000,234710455,119,1991,bien
アキラ,8000000,553171,124,773,bien
Up,175000000,735099082,96,6870,bien
A Beautiful Mind,60000000,313542341,135,3009,bien
Star Wars,11000000,775398007,121,6624,bien
There Will Be Blood,25000000,77208711,158,1537,bien
Evil Dead II,3600000,5923044,84,742,bien
The Shining,19000000,44017374,144,3757,bien
The Godfather: Part II,13000000,47542841,200,3338,bien
Terminator 2: Judgment Day,100000000,520000000,137,4185,bien
Ex Machina,15000000,36869414,108,4737,bien
The Dark Knight,185000000,1004558444,152,12002,bien
Riding Giants,2600000,3166000,105,23,bien
Raging Bull,18000000,23000000,129,938,bien
Dolphins and Whales: Tribes of the Ocean,6000000,7518876,42,3,bien
Annie Hall,4000000,38251425,93,1010,bien
Snatch,10000000,83557872,103,2912,bien
American Beauty,15000000,356296601,122,3313,bien
12 Angry Men,350000,1000000,96,2078,bien
Return of the Jedi,32350000,572700000,135,4665,bien
Guardians of the Galaxy,170000000,773328629,121,9742,bien
Jurassic Park,63000000,920100000,127,4856,bien
"Il buono, il brutto, il cattivo",1200000,6000000,161,2311,bien
Philadelphia,26000000,206678440,125,988,bien
No Country for Old Men,25000000,171600000,122,3003,bien
Casino,52000000,116112375,178,1307,bien
Finding Nemo,94000000,940335536,100,6122,bien
Gran Torino,33000000,269958228,116,3086,bien
The Green Mile,60000000,284600000,189,4048,bien
Django Unchained,100000000,425368238,165,10099,bien
Fight Club,6300000000,10085375300,139,29148,bien
Young Frankenstein,2800000,86273333,106,854,bien
Kill Bill: Vol. 1,30000000,180949000,111,4949,bien
The Godfather,6000000,245066411,175,5893,bien
Ernest et Célestine,12516654,8109160,78,142,bien
On the Waterfront,910000,9600000,108,357,bien
Mulan,90000000,304320254,88,2008,bien
Metropolis,92620000,650422,153,657,bien
It's a Wonderful Life,3180000,9644124,130,1076,bien
The Deer Hunter,15000000,50000000,183,921,bien
Das Leben der Anderen,2000000,70000000,137,958,bien
WALL·E,180000000,521311860,98,6296,bien
The Thing,15000000,19629760,109,1588,bien
The Perks of Being a Wallflower,13000000,33400000,102,2968,bien
Deadpool & Wolverine,200000000,1317173104,128,3160,bien
The Sixth Sense,40000000,672806292,107,3147,bien
Gladiator,103000000,457640427,155,5439,bien
Rush,38000000,90247624,123,2277,bien
The Pianist,35000000,120072577,150,1864,bien
Toy Story 3,200000000,1066969703,103,4597,bien
It Happened One Night,325000,4500000,105,275,bien
Cop Land,15000000,44862187,104,382,moyen
Dolphin Tale 2,36000000,52424533,107,96,moyen
Another Earth,100000,1776935,92,527,moyen
Damnation Alley,17000000,8720000,91,27,moyen
Young Guns,13000000,44726644,107,258,moyen
Horrible Bosses 2,42000000,107670357,108,1536,moyen
The Horse Whisperer,60000000,186883563,170,292,moyen
21 & Over,13000000,48065672,93,737,moyen
Brokedown Palace,25000000,13000000,100,111,moyen
Magic Mike XXL,14800000,122513057,115,706,moyen
Wimbledon,31000000,41512007,98,293,moyen
The Fifth Element,90000000,263920180,126,3885,moyen
From Hell,35000000,74558115,122,741,moyen
Friday the 13th: The Final Chapter,2600000,32980880,91,237,moyen
Terminator Genisys,155000000,440603537,126,3631,moyen
The Blues Brothers,27000000,115229890,133,1065,moyen
The Land Before Time,12300000,84460846,69,640,moyen
Interview with the Vampire,60000000,223664608,123,1516,moyen
Major Dundee,3800000,14873,123,38,moyen
The Boondock Saints,6000000,30471,108,837,moyen
The Big Hit,13000000,27007143,91,109,moyen
Friday,3500000,28215918,91,503,moyen
Notting Hill,42000000,363889678,124,1262,moyen
Baby Boy,16000000,29381649,130,55,moyen
Just Like Heaven,58000000,102854431,95,579,moyen
Batman Forever,100000000,336529144,121,1498,moyen
One Night with the King,20000000,13391174,123,12,moyen
8MM,40000000,96618699,123,474,moyen
Think Like a Man Too,24000000,70181428,105,225,moyen
Night at the Museum: Secret of the Tomb,127000000,349424282,97,1851,moyen
The Finest Hours,80000000,52099090,114,588,moyen
Saw V,10800000,113857533,92,820,moyen
Pirates of the Caribbean: Dead Man's Chest,200000000,1065659812,151,5246,moyen
Argo,44500000,232324128,120,3423,moyen
Snitch,35000000,42930462,112,1138,moyen
Wonderland,5000000,2466444,104,73,moyen
Green Zone,100000000,94882889,115,717,moyen
I Am Sam,22000000,92542418,132,530,moyen
Coyote Ugly,45000000,113916474,100,575,moyen
As Good as It Gets,50000000,314178011,139,915,moyen
Sliding Doors,6000000,58000000,99,354,moyen
キュア,20000,99000,111,63,moyen
Centurion,12000000,6814789,97,386,moyen
Frozen,150000000,1274219009,102,5295,moyen
Adaptation.,19000000,32801173,114,638,moyen
Split Second,7,5,90,63,moyen
The Big Year,41000000,7448385,100,248,moyen
Astérix aux Jeux Olympiques,97250400,132900000,116,471,moyen
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",28000000,100654149,81,493,moyen
High Crimes,42000000,63781810,115,184,moyen
Moonraker,34000000,210308099,126,541,moyen
Alatriste,24000000,23321954,145,61,moyen
The Gunman,40000000,13644292,115,392,moyen
Ice Age: Continental Drift,95000000,877244782,88,2672,moyen
キャプテンハーロック,30000000,17137302,115,356,moyen
The Last Dragon,10000000,25754284,108,69,moyen
Transformers: Revenge of the Fallen,150000000,836297228,150,3138,moyen
In the Heart of the Sea,100000000,93820758,122,1276,moyen
Club Dread,8500000,5001655,104,107,moyen
Killer Elite,66000000,57777106,116,695,moyen
K-PAX,48000000,50315140,120,695,moyen
Love & Other Drugs,30000000,102820008,112,1233,moyen
The Stepford Wives,90000000,102000000,93,334,moyen
Jagal,1000000,444575,115,210,moyen
Domestic Disturbance,75000000,54249294,89,113,moyen
The Wolverine,120000000,415440673,126,4053,moyen
Gun Shy,10000000,1631839,101,24,moyen
"Good Morning, Vietnam",13000000,123922370,121,642,moyen
Jarhead,72000000,96889998,125,765,moyen
Midnight Special,18000000,6212282,112,694,moyen
The Transporter,21000000,43928932,92,1692,moyen
Pacific Rim,180000000,407602906,131,4794,moyen
My Best Friend's Girl,20000000,36620508,101,220,moyen
The Roommate,16000000,40492759,91,224,moyen
Ladyhawke,20000000,18432000,121,260,moyen
金陵十三釵,94000000,95311434,145,187,moyen
Conan the Destroyer,18000000,100000000,103,383,moyen
Red Dawn,4200000,38376497,114,215,moyen
This Is the End,32000000,126041322,107,2359,moyen
Ca$h,7000000,46488,108,73,moyen
Sherlock Holmes,90000000,524028679,128,5766,moyen
Coach Carter,30000000,76669806,136,496,moyen
The 51st State,28,14,93,173,moyen
Beasts of the Southern Wild,1800000,21107746,93,403,moyen
Footloose,8200000,80035402,107,505,moyen
The Covenant,20000000,37597471,97,288,moyen
Resident Evil: Extinction,45000000,148412065,94,1292,moyen
22 Jump Street,50000000,188441614,112,3319,moyen
Buried,1987650,19152480,94,827,moyen
Red River,3000000,9012000,133,82,moyen
The Fifth Estate,28000000,8555008,128,364,moyen
Tea with Mussolini,12000000,21001563,117,32,moyen
Far from Heaven,13500000,29027914,107,144,moyen
A Haunted House,2500000,60141683,86,516,moyen
Anywhere But Here,23000000,18653615,114,66,moyen
Extreme Measures,38000000,17380126,118,80,moyen
Marley & Me,60000000,244082376,115,1343,moyen
Home on the Range,110000000,103951461,76,389,moyen
Evita,55000000,141047179,134,120,moyen
Saw IV,10000000,139352633,93,903,moyen
The Big Short,28000000,133346506,130,2607,moyen
Fantastic Mr. Fox,40000000,46471023,87,1176,moyen
The Black Dahlia,50000000,49111202,121,287,moyen
Major League,11000000,49797148,107,217,moyen
Drop Dead Gorgeous,10000000,10571408,98,86,moyen
The Thirteenth Floor,16000000,18564088,100,378,moyen
Equilibrium,20000000,5359645,107,1552,moyen
Never Say Never Again,36000000,160000000,134,338,moyen
About Last Night,12500000,49002684,100,210,moyen
Beauty Shop,25000000,36351350,105,115,moyen
Femme Fatale,35000000,16838910,114,142,moyen
Titan A.E.,75000000,36754634,94,313,moyen
Timecop,27000000,101646581,99,282,moyen
Lovely & Amazing,250000,4186931,91,23,moyen
Escape from the Planet of the Apes,2500000,12348905,98,264,moyen
Space Cowboys,65000000,128884132,130,403,moyen
A Walk Among the Tombstones,28000000,53181600,113,1131,moyen
A Farewell to Arms,4,25,89,28,moyen
The Spy Next Door,28000000,45236543,94,345,moyen
Assault on Precinct 13,30000000,35294470,109,311,moyen
Amistad,36000000,74000000,155,316,moyen
Sea of Love,19000000,110879513,113,141,moyen
Halloween II,15000000,39421467,105,267,moyen
Big Trouble in Little China,25000000,11000000,99,705,moyen
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,18000000,261572744,82,1579,moyen
Green Room,5000000,3220371,95,683,moyen
Savages,45000000,82966152,131,766,moyen
The Queen,15000000,123384128,103,338,moyen
Metallica: Through the Never,18000000,7972967,93,83,moyen
Revolutionary Road,35000000,75225693,119,796,moyen
Moulin Rouge!,52500000,179213434,127,1300,moyen
Battle for the Planet of the Apes,1700000,8844595,93,215,moyen
Elysium,115000000,286140700,109,3439,moyen
The Conversation,1600000,4420000,113,372,moyen
The Longest Ride,34000000,63013281,128,1064,moyen
Alice Through the Looking Glass,170000000,299370084,113,1725,moyen
The Lawnmower Man,10000000,32101000,108,197,moyen
Ali,107000000,87713825,157,447,moyen
The Golden Child,25000000,79817939,94,304,moyen
Avatar,237000000,2787965087,162,11800,moyen
Cats Don't Dance,32000000,3566637,75,24,moyen
Max Keeble's Big Move,12000000,17292381,86,33,moyen
Bulworth,30000000,29202884,108,66,moyen
The Pacifier,56000000,113006880,95,842,moyen
Anomalisa,8000000,5659286,90,459,moyen
Random Hearts,64000000,74608570,133,63,moyen
Roger & Me,160000,6706368,91,90,moyen
The Thin Red Line,52000000,98126565,170,771,moyen
A Civil Action,70000000,56702901,115,109,moyen
My Bloody Valentine,15000000,100734718,101,299,moyen
The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,415686217,113,1514,moyen
Identity,30000000,90259536,90,1061,moyen
The Holiday,85000000,194168700,136,1225,moyen
The Craft,15000000,24769466,101,380,moyen
Basquiat,2962051,3011195,108,94,moyen
Le Hussard sur le toit,35000000,15000000,135,25,moyen
Novocaine,6000000,2025238,95,44,moyen
Peggy Sue Got Married,18000000,41382841,103,136,moyen
Analyze This,80000000,176885658,103,503,moyen
Intolerance,385907,8394751,197,60,moyen
White Chicks,37000000,113086475,109,679,moyen
The Curse of the Were-Rabbit,30000000,192452832,85,643,moyen
Pixels,88000000,243637091,105,2513,moyen
The Princess Diaries 2: Royal Engagement,40000000,95149435,113,697,moyen
Trainwreck,35000000,140795793,125,1181,moyen
Syriana,50000000,94000000,128,451,moyen
Crank,12000000,42931041,88,1151,moyen
Friends with Money,6500000,13368437,88,128,moyen
This Is Where I Leave You,19800000,41296320,103,505,moyen
The Girl Next Door,25000000,30411183,108,824,moyen
Recess: School's Out,10000000,44460850,83,67,moyen
The Ghost Writer,45000000,60222298,128,670,moyen
The Nun's Story,3500000,12800000,149,46,moyen
Grown Ups 2,80000000,246984278,100,1155,moyen
The Book of Eli,80000000,157107755,118,2164,moyen
The Express,40000000,9793496,130,71,moyen
Hansel & Gretel: Witch Hunters,50000000,224803475,88,3239,moyen
Lolita,2000000,9250000,153,395,moyen
Fantasia,2280000,83320000,124,808,moyen
Erin Brockovich,52000000,256271286,131,716,moyen
Insidious: Chapter 3,10000000,104303851,97,983,moyen
The Punisher,33000000,54700105,124,766,moyen
The Bank Job,20000000,64822796,112,697,moyen
Breakdown,36000000,50159144,95,198,moyen
The Blue Lagoon,4500000,58853106,104,408,moyen
The Awakening,4798235,209696,107,458,moyen
Titanic,200000000,1845034188,194,7562,moyen
National Lampoon’s Van Wilder,5000000,38275483,92,858,moyen
The Tigger Movie,30000000,45554533,77,143,moyen
In the Land of Blood and Honey,10000000,303877,127,45,moyen
Independence Day: Resurgence,165000000,389681935,120,2491,mediocre
The Last Airbender,150000000,318502923,103,1151,mediocre
Stealth,135000000,76932943,121,331,mediocre
Batman & Robin,125000000,238207122,125,1418,mediocre
How Do You Know,120000000,48668907,121,223,mediocre
Fantastic Four,120000000,167977596,100,2278,mediocre
Gulliver's Travels,112000000,237382724,85,621,mediocre
Speed 2: Cruise Control,160000000,164508066,121,434,mediocre
Town & Country,90000000,10372291,104,16,mediocre
Eragon,100000000,249288105,104,967,mediocre
Catwoman,100000000,82102379,104,808,mediocre
The Adventures of Pluto Nash,100000000,7103973,95,142,mediocre
Nutty Professor II: The Klumps,84000000,123307945,106,332,mediocre
Cats & Dogs 2 : The Revenge of Kitty Galore,85000000,112483764,82,119,mediocre
Battlefield Earth,44000000,21400000,118,255,mediocre
A Sound of Thunder,80000000,5989640,110,111,mediocre
Jack and Jill,79000000,149673788,91,604,mediocre
The Adventures of Rocky & Bullwinkle,76000000,35134820,88,87,mediocre
Exorcist: The Beginning,80000000,78000586,114,183,mediocre
Monkeybone,75000000,5409517,93,78,mediocre
Dr. Dolittle 2,70000000,176104344,87,410,mediocre
Driven,94000000,54744738,116,179,mediocre
Ballistic: Ecks vs. Sever,70000000,19924033,91,97,mediocre
Basic Instinct 2,70000000,38629478,114,180,mediocre
The Legend of Hercules,70000000,61279452,99,533,mediocre
Elektra,43000000,56681566,97,575,mediocre
The Love Guru,62000000,41819064,87,242,mediocre
The Happening,60000000,163403799,91,950,mediocre
The Shaggy Dog,50000000,61112916,98,137,mediocre
Year One,60000000,62357900,97,524,mediocre
xXx: State of the Union,60000000,71073932,101,549,mediocre
Supernova,90000000,14828081,91,109,mediocre
The Spirit,60000000,39031337,103,320,mediocre
The Flintstones in Viva Rock Vegas,83000000,59468275,90,134,mediocre
Ghost Rider: Spirit of Vengeance,57000000,149217355,95,1135,mediocre
Thunderbirds,57000000,28283637,95,91,mediocre
Gigli,54000000,7266209,121,104,mediocre
On Deadly Ground,50000000,49000000,102,104,mediocre
The Adventures of Sharkboy and Lavagirl,50000000,69425966,92,269,mediocre
Striptease,50000000,113309743,115,205,mediocre
Zoolander 2,50000000,55969000,100,797,mediocre
Street Fighter: The Legend of Chun-Li,50000000,12764201,97,112,mediocre
Happily N'Ever After,47000000,38085778,75,104,mediocre
Jonah Hex,47000000,10539000,80,420,mediocre
Anaconda,45000000,136885767,89,610,mediocre
The Phantom,45000000,17300889,100,136,mediocre
Shadow Conspiracy,45000000,2154540,103,11,mediocre
Foodfight!,65000000,73706,87,28,mediocre
Super Mario Bros.,48000000,20915465,104,232,mediocre
Spy Kids 3-D: Game Over,38000000,197011982,84,511,mediocre
Aliens vs Predator: Requiem,40000000,41797066,94,740,mediocre
The Island of Dr. Moreau,40000000,49627779,96,147,mediocre
Torque,40000000,46546197,84,119,mediocre
Showgirls,45000000,20350754,128,256,mediocre
Get Carter,63600000,19412993,102,145,mediocre
Ishtar,55000000,14375181,107,28,mediocre
FearDotCom,40000000,18902015,101,105,mediocre
Universal Soldier: The Return,45000000,10667893,82,135,mediocre
Against the Ropes,39000000,6614280,106,32,mediocre
Virgin Territory,38000000,5410749,93,75,mediocre
Isn't She Great,36000000,3003296,95,14,mediocre
Street Fighter,35000000,99423521,102,325,mediocre
Superhero Movie,35000000,25871834,85,379,mediocre
Furry Vengeance,35000000,39340177,92,149,mediocre
The Order,35000000,11560806,102,91,mediocre
Zoom,35000000,12506188,83,135,mediocre
The Darkest Hour,30000000,64626786,89,469,mediocre
디워,70000000,53587404,90,104,mediocre
The Three Stooges,30000000,54819301,92,140,mediocre
Meet the Spartans,30000000,84646831,84,359,mediocre
Mortal Kombat: Annihilation,30000000,51376861,95,221,mediocre
Dumb and Dumberer: When Harry Met Lloyd,19000000,39267515,85,210,mediocre
Ultraviolet,30000000,31070211,87,458,mediocre
Godsend,25000000,30114487,102,114,mediocre
Hoodwinked Too! Hood VS. Evil,30000000,13521829,86,131,mediocre
Seed of Chucky,12000000,24829644,87,287,mediocre
Dracula 2000,28000000,33000337,99,148,mediocre
Ghosts of Mars,28000000,14010832,98,296,mediocre
Spy Kids: All the Time in the World,27000000,85564310,89,222,mediocre
Clockstoppers,26000000,38793283,94,89,mediocre
Welcome to Mooseport,30000000,14000000,110,54,mediocre
Highlander III: The Sorcerer,26000000,36800000,99,110,mediocre
Anacondas: The Hunt for the Blood Orchid,20000000,70992898,97,199,mediocre
Spice World,25000000,100000000,93,123,mediocre
Crocodile Dundee in Los Angeles,21150000,39438674,92,146,mediocre
The Next Best Thing,25000000,24362772,108,29,mediocre
Shark Night,28000000,10126458,91,132,mediocre
Abandon,25000000,10719357,99,45,mediocre
BloodRayne,25000000,2405420,95,118,mediocre
Ready to Rumble,24000000,12372410,107,49,mediocre
Meet the Deedles,24000000,4562146,93,19,mediocre
Jaws: The Revenge,23000000,51881013,89,224,mediocre
The Animal,22000000,84772742,84,304,mediocre
Deuce Bigalow: European Gigolo,22000000,22400154,83,225,mediocre
RoboCop 3,22000000,10696210,104,305,mediocre
Beverly Hills Chihuahua,20000000,149281606,91,209,mediocre
Date Movie,20000000,48548426,83,222,mediocre
Boogeyman,20000000,67192859,89,191,mediocre
Epic Movie,20000000,86865564,86,326,mediocre
Vampires Suck,20000000,80547866,82,315,mediocre
Scary Movie 5,20000000,78378744,86,793,mediocre
Under the Rainbow,20000000,2297493,98,7,mediocre
Disaster Movie,25000000,14109284,87,240,mediocre
Code Name: The Cleaner,20000000,10337477,84,78,mediocre
An American Carol,20000000,7000000,83,20,mediocre
Alone in the Dark,20000000,10442808,96,173,mediocre
The Cold Light of Day,20000000,16863583,93,271,mediocre
Marci X,20000000,1675706,84,12,mediocre
Dylan Dog: Dead of Night,20000000,4634062,107,139,mediocre
Left Behind,16000000,19682924,110,392,mediocre
Catch That Kid,18000000,16702864,92,76,mediocre
The Legend of the Lone Ranger,18000000,2945600,98,14,mediocre
Getaway,18000000,10501938,90,246,mediocre
The Informers,18000000,382174,98,60,mediocre
The Prince,18000000,266586800,93,218,mediocre
Summer Catch,34000000,19693891,108,63,mediocre
American Dreamz,17000000,7314027,107,95,mediocre
Superman IV: The Quest for Peace,17000000,19300000,90,318,mediocre
The Apparition,17000000,9627492,82,140,mediocre
The Unborn,16000000,76514050,87,365,mediocre
The Women,16000000,50007546,114,96,mediocre
The Cookout,16000000,12,97,10,mediocre
Steel,16000000,1686429,97,48,mediocre
Soul Plane,16000000,14822346,86,108,mediocre
Halloween: Resurrection,13000000,37664855,94,228,mediocre
All About Steve,15000000,40105542,99,295,mediocre
Urban Legends: Final Cut,14000000,38574362,97,100,mediocre
Highlander: Endgame,25000000,15843608,87,104,mediocre
Home Fries,15000000,10443316,93,32,mediocre
Boat Trip,20000000,8586376,94,146,mediocre
The In Crowd,15000000,5217498,105,15,mediocre
Vampire in Brooklyn,14000000,19800000,100,111,mediocre
Exorcist II: The Heretic,14000000,30749142,118,133,mediocre
Jason X,11000000,16951798,91,291,mediocre
The Last Godfather,13400000,16700000,100,7,mediocre
Justin Bieber: Never Say Never,13000000,98441954,105,154,mediocre
Baby Geniuses,12000000,36450736,97,75,mediocre
Faithful,13000000,9789900,91,4,mediocre
Excessive Force,3000000,1200000,87,10,mediocre
The Vatican Tapes,13000000,1784763,91,243,mediocre
Crossroads,12000000,61141030,93,158,mediocre
Johnson Family Vacation,12000000,31179516,97,30,mediocre
From Justin to Kelly,12000000,4922166,90,23,mediocre
In the Cut,12000000,23,119,89,mediocre
兔侠传奇,19000000,2570000,89,3,mediocre
Corky Romano,11000000,23978402,86,54,mediocre
Tomcats,11000000,23430766,95,74,mediocre
Skyline,10000000,66821036,100,507,mediocre
Movie 43,6000000,32438988,90,797,mediocre
Heartbeeps,10000000,2154696,79,6,mediocre
The Forest,10000000,40055439,95,448,mediocre
Swept Away,10000000,598645,89,50,mediocre
"An Alan Smithee Film: Burn, Hollywood, Burn",10000000,45779,86,9,mediocre
Nurse 3-D,10,10000000,99,119,mediocre
Poltergeist III,10500000,14144000,98,123,mediocre
Black Christmas,9000000,21510851,84,119,mediocre
Princess Kaiulani,9000000,771499,130,14,mediocre
Undiscovered,9000000,1046166,97,12,mediocre
Glitter,22000000,5271666,104,38,mediocre
Men with Brooms,7500000,4245870,102,7,mediocre
Action Jackson,7000000,20256975,96,50,mediocre
Devil's Due,7000000,36433975,89,216,mediocre
Losin' It,7000000,1246141,100,31,mediocre
Daddy Day Camp,6000000,18197398,89,91,mediocre
College,7000000,6230276,94,48,mediocre
Beastmaster 2: Through the Portal of Time,6000000,869325,107,17,mediocre
The 5th Quarter,6000000,399611,97,12,mediocre
"Surfer, Dude",6000000,69497,85,25,mediocre
Crossover,5800000,7000000,95,10,mediocre
Galaxina,5500000,4865000,95,16,mediocre
Ouija,5000000,103590271,89,983,mediocre
Friday the 13th Part VIII: Jason Takes Manhattan,5000000,14000000,100,191,mediocre
Fifty Shades of Black,20000000,21164799,92,331,mediocre
Atlas Shrugged Part III: Who is John Galt?,5000000,846704,99,15,mediocre
The Boy Next Door,4000000,52425855,91,1022,mediocre
