original_title,budget,revenue,runtime,vote_count,evaluation
Maleficent,180000000,758539785,97,4496,moyen
Dawn of the Planet of the Apes,170000000,710644566,130,4410,moyen
The Lovers,27000000,0,109,34,mediocre
47 Ronin,175000000,150962475,119,1326,moyen
Captain America: The Winter Soldier,170000000,714766572,136,5764,bien
Shrek Forever After,165000000,752600867,93,1959,moyen
Tomorrowland,190000000,209154322,130,2846,moyen
Big Hero 6,165000000,652105443,102,6135,bien
Wreck-It Ralph,165000000,471222889,108,4570,moyen
The Polar Express,165000000,305875730,100,1474,moyen
Independence Day: Resurgence,165000000,389681935,120,2491,mediocre
How to Train Your Dragon,165000000,494878759,98,4227,moyen
Terminator 3: Rise of the Machines,200000000,435000000,109,2143,moyen
Guardians of the Galaxy,170000000,773328629,121,9742,bien
Interstellar,165000000,675120017,169,10867,bien
Inception,160000000,825532764,148,13752,bien
シン・ゴジラ,15000000,77000000,120,143,moyen
The Hobbit: An Unexpected Journey,250000000,1021103568,169,8297,moyen
The Fast and the Furious,38000000,207283925,106,3428,moyen
The Curious Case of Benjamin Button,150000000,333932083,166,3292,moyen
X-Men: First Class,160000000,353624124,132,5181,moyen
The Hunger Games: Mockingjay - Part 2,160000000,653428261,137,3984,moyen
The Sorcerer's Apprentice,150000000,215283742,109,1470,moyen
Poseidon,160000000,181674817,99,583,moyen
Alice Through the Looking Glass,170000000,299370084,113,1725,moyen
Shrek the Third,160000000,798958165,93,2278,moyen
Warcraft,160000000,433677183,123,2268,moyen
Terminator Genisys,155000000,440603537,126,3631,moyen
The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,415686217,113,1514,moyen
Pearl Harbor,140000000,449220945,183,1791,moyen
Transformers,150000000,709709780,144,4040,moyen
Alexander,155000000,167298192,175,927,moyen
Harry Potter and the Order of the Phoenix,150000000,938212738,138,5494,moyen
Harry Potter and the Goblet of Fire,150000000,895921036,157,5608,moyen
Hancock,150000000,624029371,92,2961,moyen
I Am Legend,150000000,585349010,101,4853,moyen
Charlie and the Chocolate Factory,150000000,474968763,115,3624,moyen
Ratatouille,150000000,623722818,111,4369,moyen
Batman Begins,150000000,374218673,140,7359,moyen
Madagascar: Escape 2 Africa,150000000,603900354,89,1810,moyen
Night at the Museum: Battle of the Smithsonian,150000000,413106170,105,1971,moyen
X-Men Origins: Wolverine,150000000,373062864,107,4021,moyen
The Matrix Revolutions,150000000,424988211,129,3096,moyen
Frozen,150000000,1274219009,102,5295,moyen
The Matrix Reloaded,150000000,738599701,138,3443,moyen
Thor: The Dark World,170000000,644571402,112,4755,moyen
Mad Max: Fury Road,150000000,378858340,120,9427,moyen
Angels & Demons,150000000,356613439,138,2129,moyen
Thor,150000000,449326618,115,6525,moyen
Bolt,150000000,309979994,98,1750,moyen
G-Force,150000000,292817841,88,510,moyen
Wrath of the Titans,150000000,301000000,99,1431,moyen
Dark Shadows,150000000,245527149,113,2320,moyen
Mission: Impossible - Rogue Nation,150000000,682330139,131,3224,moyen
The Wolfman,150000000,0,102,549,moyen
Bee Movie,150000000,287594577,91,1171,moyen
Kung Fu Panda 2,150000000,665692281,91,1880,moyen
The Last Airbender,150000000,318502923,103,1151,mediocre
Mission: Impossible III,150000000,397850012,126,2028,moyen
White House Down,150000000,205366737,131,1891,moyen
Mars Needs Moms,150000000,38992758,88,199,moyen
Flushed Away,149000000,64459316,85,874,moyen
Pan,150000000,128388320,111,954,moyen
Mr. Peabody & Sherman,145000000,272912430,92,843,moyen
Troy,175000000,497409852,163,2759,moyen
Madagascar 3: Europe's Most Wanted,145000000,746921274,93,1808,moyen
Die Another Day,140000000,431971116,133,1092,moyen
Ghostbusters,144000000,229147509,116,2142,moyen
Armageddon,140000000,553799566,151,2482,moyen
Men in Black II,140000000,441818803,88,3114,moyen
Beowulf,70000000,195735876,115,841,moyen
Kung Fu Panda 3,145000000,521170825,95,1603,moyen
Mission: Impossible - Ghost Protocol,145000000,694713380,133,3972,moyen
Rise of the Guardians,145000000,306941670,97,1922,moyen
Fun with Dick and Jane,100000000,202026112,90,627,moyen
The Last Samurai,140000000,456758981,154,1895,moyen
Exodus: Gods and Kings,140000000,268031828,150,1921,moyen
Star Trek,150000000,385680446,127,4518,moyen
Spider-Man,139000000,821708551,121,5265,moyen
How to Train Your Dragon 2,145000000,609123048,102,3106,bien
Gods of Egypt,140000000,150680864,127,1277,moyen
Stealth,135000000,76932943,121,331,mediocre
Watchmen,130000000,185258983,163,2811,moyen
Lethal Weapon 4,140000000,285444603,127,767,moyen
Hulk,137000000,245360480,138,1533,moyen
G.I. Joe: Retaliation,130000000,371876278,110,3025,moyen
Sahara,130000000,119269486,124,434,moyen
Final Fantasy: The Spirits Within,137000000,85131830,106,433,moyen
Captain America: The First Avenger,140000000,370569774,124,7047,moyen
The World Is Not Enough,135000000,361832400,128,862,moyen
Master and Commander: The Far Side of the World,150000000,212011111,138,790,moyen
The Twilight Saga: Breaking Dawn - Part 2,120000000,829000000,115,2553,moyen
Happy Feet Two,130000000,150406466,100,373,moyen
The Incredible Hulk,150000000,163712074,114,3021,moyen
The BFG,140000000,183345589,120,1000,moyen
The Revenant,135000000,532950503,156,6396,moyen
Turbo,135000000,282570682,96,1074,moyen
Rango,135000000,245724603,107,2051,moyen
Penguins of Madagascar,132000000,373552094,92,1346,moyen
The Bourne Ultimatum,70000000,442824138,115,2888,moyen
Kung Fu Panda,130000000,631744560,90,3145,moyen
Ant-Man,130000000,519311965,117,5880,moyen
The Hunger Games: Catching Fire,130000000,847423452,146,6495,moyen
Home,135000000,368871007,94,1519,moyen
War of the Worlds,132000000,591739379,116,2322,moyen
Bad Boys II,130000000,273339556,147,1564,moyen
Puss in Boots,130000000,554987477,90,451,moyen
Salt,110000000,293329073,100,2093,moyen
Noah,125000000,362637473,139,2350,moyen
The Adventures of Tintin,130000000,371940071,107,2061,moyen
Harry Potter and the Prisoner of Azkaban,130000000,789804554,141,5877,bien
Australia,130000000,49554002,165,694,moyen
After Earth,130000000,243843127,100,2532,moyen
Dinosaur,127500000,354248063,82,542,moyen
Night at the Museum: Secret of the Tomb,127000000,349424282,97,1851,moyen
Megamind,130000000,321887208,95,1918,moyen
Harry Potter and the Philosopher's Stone,125000000,976475550,152,7006,moyen
R.I.P.D.,130000000,61648500,96,1260,moyen
Pirates of the Caribbean: The Curse of the Black Pearl,140000000,655011224,143,6985,moyen
The Hunger Games: Mockingjay - Part 1,125000000,752100229,123,5584,moyen
The Da Vinci Code,125000000,767820459,149,2704,moyen
Rio 2,103000000,500188435,102,978,moyen
X2,110000000,407711549,133,3506,moyen
Fast Five,125000000,626137675,130,2438,moyen
Sherlock Holmes: A Game of Shadows,125000000,334615000,129,3886,moyen
Clash of the Titans,125000000,232713139,106,2233,moyen
Total Recall,65000000,261317921,113,1710,moyen
The 13th Warrior,160000000,61698899,102,510,moyen
The Bourne Legacy,130000000,276572938,120,2651,moyen
Batman & Robin,125000000,238207122,125,1418,mediocre
How the Grinch Stole Christmas,123000000,345141403,104,1386,moyen
The Day After Tomorrow,125000000,544272402,124,2392,moyen
Mission: Impossible II,125000000,546388105,123,1928,moyen
The Perfect Storm,120000000,325756637,130,597,moyen
4: Rise of the Silver Surfer,130000000,289047763,92,2589,moyen
Life of Pi,120000000,609016565,127,5797,moyen
Ghost Rider,110000000,228738393,114,1712,moyen
Jason Bourne,120000000,415484914,123,2341,moyen
Charlie's Angels: Full Throttle,120000000,259175788,106,914,moyen
Prometheus,130000000,403170142,124,5080,moyen
Stuart Little 2,120000000,169956806,78,613,moyen
Elysium,115000000,286140700,109,3439,moyen
The Chronicles of Riddick,105000000,115772733,119,1570,moyen
RoboCop,120000000,242688965,102,2342,moyen
Speed Racer,120000000,93945766,135,354,moyen
How Do You Know,120000000,48668907,121,223,mediocre
Knight and Day,117000000,261930431,109,1547,moyen
Oblivion,120000000,286168572,124,4800,moyen
Star Wars: Episode III - Revenge of the Sith,113000000,850000000,140,4116,moyen
Star Wars: Episode II - Attack of the Clones,120000000,649398328,142,3992,moyen
"Monsters, Inc.",115000000,562816256,92,5996,moyen
The Wolverine,120000000,415440673,126,4053,moyen
Star Wars: Episode I - The Phantom Menace,115000000,924317558,136,4432,moyen
The Croods,135000000,585178928,98,2399,moyen
Astérix aux Jeux Olympiques,97250400,132900000,116,471,moyen
Windtalkers,115000000,77628265,134,341,moyen
The Huntsman: Winter's War,115000000,164602163,114,1523,moyen
Teenage Mutant Ninja Turtles,125000000,477200000,101,2636,moyen
Gravity,105000000,716392705,91,5751,moyen
Dante's Peak,116000000,178127760,108,428,moyen
Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,245623848,112,963,moyen
Fantastic Four,120000000,167977596,100,2278,mediocre
Night at the Museum,110000000,574480841,108,2862,moyen
San Andreas,110000000,470490832,114,2968,moyen
Tomorrow Never Dies,110000000,333011068,119,925,moyen
The Patriot,110000000,215294342,165,1099,moyen
Ocean's Twelve,110000000,362744280,125,2124,moyen
Mr. & Mrs. Smith,110000000,478207520,120,2965,moyen
Insurgent,110000000,295238201,119,3829,moyen
The Aviator,116000000,102000000,170,1489,moyen
Gulliver's Travels,112000000,237382724,85,621,mediocre
The Green Hornet,120000000,227817248,119,1251,moyen
300: Rise of an Empire,110000000,337580051,102,2397,moyen
The Smurfs,110000000,563749323,103,1179,moyen
Home on the Range,110000000,103951461,76,389,moyen
Allegiant,110000000,179246868,121,1998,moyen
Real Steel,110000000,299268508,127,2692,moyen
The Smurfs 2,105000000,347434178,105,695,moyen
Speed 2: Cruise Control,160000000,164508066,121,434,mediocre
Ender's Game,110000000,125537191,114,2303,moyen
Live Free or Die Hard,110000000,383531464,128,2089,moyen
The Lord of the Rings: The Fellowship of the Ring,93000000,871368364,178,8705,bien
Around the World in 80 Days,110000000,72178895,120,672,moyen
Ali,107000000,87713825,157,447,moyen
The Cat in the Hat,0,0,82,366,mediocre
"I, Robot",120000000,347234916,115,3793,moyen
Kingdom of Heaven,130000000,211643158,144,1157,moyen
Stuart Little,133000000,300135367,84,959,moyen
The Princess and the Frog,105000000,267045765,97,1247,moyen
The Martian,108000000,630161890,141,7268,bien
The Island,126000000,162949164,136,1770,moyen
Town & Country,90000000,10372291,104,16,mediocre
Gone in Sixty Seconds,90000000,237202299,118,1485,moyen
Gladiator,103000000,457640427,155,5439,bien
Minority Report,102000000,358372926,145,2608,moyen
Harry Potter and the Chamber of Secrets,100000000,876688482,161,5815,moyen
Casino Royale,150000000,599045960,144,3855,moyen
Planet of the Apes,100000000,362211740,119,1243,moyen
Terminator 2: Judgment Day,100000000,520000000,137,4185,bien
Public Enemies,80000000,214104620,140,1344,moyen
American Gangster,100000000,266465037,157,1502,moyen
True Lies,115000000,378882411,141,1116,moyen
The Taking of Pelham 1 2 3,100000000,150166126,106,954,moyen
Little Fockers,100000000,310650585,98,1060,moyen
The Other Guys,100000000,170432927,107,1383,moyen
Eraser,100000000,242295562,115,543,moyen
Django Unchained,100000000,425368238,165,10099,bien
The Hunchback of Notre Dame,100000000,100138851,91,1129,moyen
The Emperor's New Groove,100000000,169327687,78,1490,moyen
The Expendables 2,100000000,312573423,103,2896,moyen
National Treasure,100000000,347451894,131,1926,moyen
Eragon,100000000,249288105,104,967,mediocre
Where the Wild Things Are,100000000,100086793,101,572,moyen
Epic,100000000,268426634,102,1121,moyen
The Tourist,100000000,278731369,103,1699,moyen
End of Days,100000000,211989043,121,482,moyen
Blood Diamond,100000000,170877916,143,2281,moyen
The Wolf of Wall Street,100000000,392000694,180,6571,bien
Batman Forever,100000000,336529144,121,1498,moyen
Starship Troopers,105000000,121214377,129,1560,moyen
Cloud Atlas,102000000,130482868,172,2977,moyen
Legend of the Guardians: The Owls of Ga'Hoole,80000000,140073390,97,703,moyen
Catwoman,100000000,82102379,104,808,mediocre
Hercules,100000000,243400000,99,1680,moyen
Treasure Planet,140000000,109578115,95,948,moyen
Land of the Lost,100000000,68688831,102,381,moyen
The Expendables 3,90000000,206172544,127,1795,moyen
Point Break,105000000,133718711,114,783,moyen
Son of the Mask,84000000,0,94,338,mediocre
In the Heart of the Sea,100000000,93820758,122,1276,moyen
The Adventures of Pluto Nash,100000000,7103973,95,142,mediocre
Green Zone,100000000,94882889,115,717,moyen
The Peanuts Movie,99000000,246233113,88,604,moyen
The Spanish Prisoner,10000000,13835130,110,73,moyen
The Mummy Returns,98000000,433013274,130,2206,moyen
Gangs of New York,100000000,193772504,167,1910,moyen
金陵十三釵,94000000,95311434,145,187,moyen
Surf's Up,85000000,149044513,85,601,moyen
The Stepford Wives,90000000,102000000,93,334,moyen
Black Hawk Down,92000000,172989651,144,1811,moyen
The Campaign,0,104907746,85,578,moyen
The Fifth Element,90000000,263920180,126,3885,moyen
Sex and the City 2,100000000,288347692,146,426,moyen
The Road to El Dorado,95000000,76432727,89,858,moyen
Ice Age: Continental Drift,95000000,877244782,88,2672,moyen
Cinderella,95000000,543514353,105,2374,moyen
The Lovely Bones,65000000,93525586,136,1065,moyen
Finding Nemo,94000000,940335536,100,6122,bien
The Lord of the Rings: The Return of the King,94000000,1118888979,201,8064,bien
The Lord of the Rings: The Two Towers,79000000,926287400,179,7487,bien
Seventh Son,95000000,114178613,102,957,moyen
Lara Croft: Tomb Raider,115000000,274703340,100,2192,moyen
Transcendence,100000000,103039258,119,2295,moyen
Jurassic Park III,93000000,368780809,92,2077,moyen
Rise of the Planet of the Apes,93000000,482860185,105,4347,moyen
The Spiderwick Chronicles,90000000,162839667,95,572,moyen
A Good Day to Die Hard,92000000,304654182,98,3493,moyen
The Alamo,145000000,25819961,137,106,moyen
The Incredibles,92000000,631442092,115,5152,moyen
Cutthroat Island,98000000,10017322,119,136,moyen
Percy Jackson & the Olympians: The Lightning Thief,95000000,226497209,118,2010,moyen
Men in Black,90000000,589390539,98,4412,moyen
Toy Story 2,90000000,497366869,92,3806,moyen
Unstoppable,100000000,167805466,98,1165,moyen
Rush Hour 2,90000000,347325802,90,1054,moyen
What Lies Beneath,100000000,155464351,130,488,moyen
Cloudy with a Chance of Meatballs,100000000,242988466,90,1747,moyen
Ice Age: Dawn of the Dinosaurs,90000000,886686817,94,2271,moyen
The Secret Life of Walter Mitty,90000000,188133322,114,3144,moyen
Charlie's Angels,92000000,264105545,98,1232,moyen
The Departed,90000000,289847354,151,4339,bien
Mulan,90000000,304320254,88,2008,bien
Tropic Thunder,92000000,188072649,107,1667,moyen
The Girl with the Dragon Tattoo,90000000,232617430,158,2434,moyen
Die Hard: With a Vengeance,90000000,366101666,128,2066,moyen
Sherlock Holmes,90000000,524028679,128,5766,moyen
Ben-Hur,100000000,94061311,125,621,moyen
Atlantis: The Lost Empire,120000000,186053725,95,1224,moyen
Alvin and the Chipmunks: The Road Chip,0,233755553,92,428,moyen
Valkyrie,75000000,200276000,121,1173,moyen
You Don't Mess with the Zohan,90000000,201596308,113,1048,moyen
Pixels,88000000,243637091,105,2513,moyen
A.I. Artificial Intelligence,100000000,235926552,146,1974,moyen
The Haunted Mansion,90000000,182290266,99,466,moyen
Contact,90000000,171120329,150,1308,moyen
Hollow Man,95000000,190213455,112,634,moyen
The Interpreter,80000000,162944923,128,392,moyen
Percy Jackson: Sea of Monsters,90000000,174578751,106,1648,moyen
Lara Croft Tomb Raider: The Cradle of Life,95000000,156505388,117,1418,moyen
Now You See Me 2,90000000,334901337,129,3235,moyen
The Saint,68000000,118063304,116,302,moyen
Spy Game,92000000,143049560,126,579,moyen
Mission to Mars,90000000,60874615,114,369,moyen
Rio,90000000,484635760,96,2166,moyen
Bicentennial Man,100000000,93700000,131,963,moyen
Volcano,90000000,0,104,376,moyen
The Devil's Own,90000000,140807547,107,290,moyen
K-19: The Widowmaker,100000000,35168966,138,264,moyen
Conan the Barbarian,20000000,79114085,129,650,moyen
Cinderella Man,88000000,108539911,144,616,moyen
The Nutcracker: The Untold Story,90000000,16178959,110,50,moyen
Seabiscuit,87000000,148336445,141,216,moyen
Twister,92000000,494471524,113,950,moyen
Cast Away,90000000,429632142,143,3218,moyen
Happy Feet,100000000,384335608,108,1410,moyen
The Bourne Supremacy,75000000,288500217,108,2825,moyen
Air Force One,85000000,315156409,124,840,moyen
Ocean's Eleven,85000000,450717150,116,3783,moyen
The Three Musketeers,75000000,132274484,110,924,moyen
Hotel Transylvania,85000000,358375603,91,2566,moyen
Enchanted,85000000,340487652,107,1449,moyen
Safe House,85000000,208076205,115,1345,moyen
102 Dalmatians,85000000,183611771,100,313,moyen
Tower Heist,75000000,152930623,104,932,moyen
The Holiday,85000000,194168700,136,1225,moyen
Enemy of the State,90000000,250649836,132,1240,moyen
It's Complicated,85000000,219103655,121,360,moyen
Ocean's Thirteen,85000000,311312624,122,1999,moyen
Open Season,85000000,197309027,83,656,moyen
Divergent,85000000,288747895,139,4663,moyen
Enemy at the Gates,68000000,96976270,131,999,moyen
The Rundown,85000000,80916492,104,514,moyen
Last Action Hero,85000000,137298489,130,712,moyen
Memoirs of a Geisha,85000000,162242962,145,652,moyen
The Fast and the Furious: Tokyo Drift,85000000,158468292,104,1705,moyen
Arthur Christmas,0,0,97,333,moyen
Meet Joe Black,90000000,142940100,178,1147,moyen
Collateral Damage,85000000,78382433,108,427,moyen
All That Jazz,0,37823676,123,85,moyen
Mirror Mirror,85000000,183018522,106,1114,moyen
Scott Pilgrim vs. the World,60000000,47664559,112,2126,moyen
The Core,60000000,74208267,136,516,moyen
Nutty Professor II: The Klumps,84000000,123307945,106,332,mediocre
Scooby-Doo,84000000,275650703,88,820,moyen
Dredd,50000000,41037742,95,1940,moyen
Click,82500000,237681299,107,2104,moyen
Creepshow,8000000,21028755,120,226,moyen
Cats & Dogs 2 : The Revenge of Kitty Galore,85000000,112483764,82,119,mediocre
Jumper,85000000,222231186,88,1799,moyen
Hellboy II: The Golden Army,85000000,160388063,120,1527,moyen
Zodiac,65000000,84785914,157,2023,moyen
The 6th Day,82000000,96085477,123,595,moyen
Bruce Almighty,80000000,484572835,101,3012,moyen
The Expendables,80000000,274470394,103,2926,moyen
Mission: Impossible,80000000,457696359,110,2631,moyen
The Hunger Games,75000000,691210692,142,9455,moyen
The Hangover Part II,80000000,254455986,102,3739,moyen
Batman Returns,80000000,280000000,126,1673,moyen
Over the Hedge,80000000,343397247,83,1074,moyen
Lilo & Stitch,80000000,145771527,85,1314,moyen
Charlotte's Web,85000000,144000000,97,288,moyen
Deep Impact,75000000,140464664,120,855,moyen
RED 2,84000000,0,116,1526,moyen
The Longest Yard,82000000,190320568,113,785,moyen
Alvin and the Chipmunks: Chipwrecked,75000000,342695435,87,484,moyen
Grown Ups 2,80000000,246984278,100,1155,moyen
Get Smart,80000000,230685453,110,1051,moyen
Something's Gotta Give,80000000,266728738,128,410,moyen
Shutter Island,80000000,294804195,138,6336,bien
Four Christmases,80000000,163733697,88,331,moyen
Robots,75000000,260696994,91,1333,moyen
Face/Off,80000000,245676146,138,1583,moyen
Bedtime Stories,80000000,212874442,99,901,moyen
Road to Perdition,80000000,181001478,117,1077,moyen
Just Go with It,80000000,214918407,117,1543,moyen
Con Air,75000000,224012234,115,1270,moyen
Eagle Eye,80000000,178066569,118,1018,moyen
Cold Mountain,79000000,173013509,154,533,moyen
The Book of Eli,80000000,157107755,118,2164,moyen
Flubber,80000000,177977226,93,695,moyen
The Haunting,80000000,91188905,113,369,moyen
Space Jam,80000000,250200000,88,1288,moyen
The Pink Panther,0,0,93,550,moyen
The Day the Earth Stood Still,80000000,233093859,104,1043,moyen
Conspiracy Theory,75000000,136982834,135,431,moyen
Fury,68000000,211817906,135,3946,moyen
Six Days Seven Nights,70000000,164000000,98,332,moyen
Yogi Bear,80000000,201584141,80,220,moyen
Spirit: Stallion of the Cimarron,80000000,122563539,83,831,moyen
Zookeeper,80000000,169852759,102,498,moyen
Lost in Space,80000000,136159423,130,388,moyen
The Manchurian Candidate,80000000,96105964,129,393,moyen
Déjà Vu,0,0,117,1,bien
Hotel Transylvania 2,80000000,473226958,89,1497,moyen
Fantasia 2000,80000000,90874570,74,292,moyen
The Time Machine,80000000,123729176,96,631,moyen
Mighty Joe Young,90000000,0,114,208,moyen
Swordfish,102000000,147080413,99,932,moyen
The Legend of Zorro,75000000,142400065,129,893,moyen
What Dreams May Come,85000000,71485043,113,577,moyen
Little Nicky,85000000,0,90,438,moyen
The Brothers Grimm,88000000,105316267,118,818,moyen
Mars Attacks!,70000000,101371017,106,1509,moyen
Évolution,0,0,81,47,moyen
The Edge,0,43312294,117,349,moyen
Surrogates,80000000,122444772,89,1195,moyen
Thirteen Days,80000000,34566746,145,189,moyen
Daylight,80000000,159212469,115,378,moyen
Walking With Dinosaurs,80000000,126546518,87,133,moyen
Battlefield Earth,44000000,21400000,118,255,mediocre
Looney Tunes: Back in Action,80000000,68514844,90,297,moyen
Nine,80000000,53825515,112,165,moyen
Timeline,80000000,19480739,116,318,moyen
The Postman,80000000,17626234,177,299,moyen
Babe: Pig in the City,90000000,69131860,92,305,moyen
The Last Witch Hunter,90000000,146936910,106,1316,moyen
Red Planet,80000000,33463969,106,267,moyen
Arthur et les Minimoys,86000000,107944236,94,639,moyen
Oceans,0,19406406,84,111,moyen
A Sound of Thunder,80000000,5989640,110,111,mediocre
Pompeii,130000000,117831631,105,1267,moyen
Don Gato: El inicio de la pandilla,8000000,0,89,9,moyen
A Beautiful Mind,60000000,313542341,135,3009,bien
The Lion King,45000000,788241776,89,5376,bien
Journey 2: The Mysterious Island,79000000,355692760,94,1030,moyen
Cloudy with a Chance of Meatballs 2,78000000,248384621,95,915,moyen
Red Dragon,78000000,209196298,124,1115,moyen
Hidalgo,100000000,108103450,136,318,moyen
Jack and Jill,79000000,149673788,91,604,mediocre
2 Fast 2 Furious,76000000,236350661,107,2028,moyen
The Little Prince,64000000,97571250,92,756,bien
The Invasion,80000000,15071514,99,359,moyen
The Adventures of Rocky & Bullwinkle,76000000,35134820,88,87,mediocre
The Secret Life of Pets,75000000,875958308,87,3462,moyen
The League of Extraordinary Gentlemen,78000000,179265204,110,1155,moyen
Despicable Me 2,76000000,970761885,98,4637,moyen
Independence Day,75000000,816969268,145,3260,moyen
The Lost World: Jurassic Park,73000000,229074524,129,2487,moyen
